lookback,enter_threshold_size,exit_threshold_size,loss_limit,avg_sharpe_ratio,median_sharpe_ratio,avg_overall_return,median_overall_return,overall_return_std,uuid
50,2.0,0.5,-0.5,-0.5938223928769752,-0.6006471357979405,-0.04342825435382933,-0.02195976353435102,0.20943846207843805,1a9ca4fa-8057-4c19-8ee8-3a4543547763
70,2.0,0.5,-0.5,-0.3644665933635717,-0.5767621044973295,-0.033428012676484556,-0.0077037005269845246,0.21433480711806216,3d6bb2f6-f763-4858-bb0d-372ed4294251
76,2.0,0.5,-0.5,-0.37184806888806987,-0.5992218375806875,-0.0380360312626856,-0.015466966769557678,0.21743109214016373,eea353ee-587c-4fd1-b1c3-31dcf5c68e7f
