enter_threshold_size,exit_threshold_size,loss_limit,avg_sharpe_ratio,median_sharpe_ratio,avg_overall_return,median_overall_return,overall_return_std,uuid
2.0,0.5,-0.1,-0.1587095318620721,-0.06434886172961175,-0.018563895378455618,0.0,0.11150951012412276,4604dc9f-bd2f-4986-9695-ca7c3854be50
2.0,0.5,-0.05,-0.5010576438971143,-0.8162709279241153,-0.02085817868840705,0.0,0.1036103675262477,e8dab8ee-17db-49d0-ba29-fc0728b3b172
1.0,0.5,-0.1,-1.3516920686998537,-0.3746997365555432,0.0026458166188188725,0.0,0.22190221880217156,dc2d0970-3ea8-4ddf-8bb5-14430eda1bec
1.0,0.5,-0.05,-1.6691858888897866,-0.8090221531745649,-0.035052599802044136,-0.004048488065445214,0.15747760828762605,0483b0c8-36e8-43c9-8b6b-3a27018b0b3f
