enter_threshold_size,exit_threshold_size,loss_limit,avg_sharpe_ratio,median_sharpe_ratio,avg_overall_return,median_overall_return,overall_return_std,uuid
2.0,0.5,-0.1,-0.375979135866289,0.5770202551732831,0.042809307953453286,0.0,0.16732937689213787,3140f9a2-597a-4b66-a2f2-0cfe05720f87
2.0,0.5,-0.05,-0.7742293192918913,-1.0466706772982186,0.00501345366030544,0.0,0.11756101029931633,046f8927-9f7d-442a-827e-4a9c84a7b76f
1.0,0.5,-0.1,-0.277534748549477,-1.0517412945684275,0.03526676269816626,0.0,0.28971684646164403,c9917a2a-ec79-4c16-9dc8-eb8cf7338454
1.0,0.5,-0.05,-0.6711745601374479,-1.1067614062649782,0.016120906820526495,-0.04219707018335606,0.2882314383247671,1b5e8ee0-80fd-47b1-83d2-99f2b95456aa
