lookback,enter_threshold_size,exit_threshold_size,loss_limit,avg_sharpe_ratio,median_sharpe_ratio,avg_overall_return,median_overall_return,overall_return_std,uuid
70,2.0,0.5,-0.5,-0.6078706149869562,0.3507653932531007,0.028614303306617923,0.03080550511657633,0.23221110390563435,406ba7da-b851-4649-a16a-4b18fcd94d4d
60,2.0,0.5,-0.5,-0.5266564449468312,-0.14733344295700337,0.02876683432601588,0.017431724075308304,0.2469574415407943,6ba130e4-4b70-4ea0-a074-3e80f9a5f520
50,2.0,0.5,-0.5,-0.294544141822809,-0.1553179849287507,0.017319899554782213,0.017311251327255625,0.2561257095901928,0ceff2db-9a79-4992-b8c9-04d14832b722
40,2.0,0.5,-0.5,-0.4595657088824921,-1.0574600096807416,0.01153015552066539,-0.01091542628719192,0.23503339909046628,f74830d7-66e9-4597-a7a5-e56b0f3ec3c5
