"Symbol","Name","LastSale","MarketCap","ADR TSO","IPOyear","Sector","Industry","Summary Quote",
"NBR","Nabors Industries Ltd.","2.82","1008980676.12","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nbr",
"NOV","National Oilwell Varco, Inc.","29.25","11213471529","n/a","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/nov",
"NGS","Natural Gas Services Group, Inc.","17.44","228763165.76","n/a","2002","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/ngs",
"NRP","Natural Resource Partners LP","39.29","481142196.8","n/a","2002","Energy","Coal Mining","https://www.nasdaq.com/symbol/nrp",
"NFX","Newfield Exploration Company","17.8","3576020000","n/a","1993","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nfx",
"NR","Newpark Resources, Inc.","7.97","723737265.39","n/a","n/a","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/nr",
"NGL","NGL ENERGY PARTNERS LP","10.47","1295573107.14","n/a","2011","Energy","Oil Refining/Marketing","https://www.nasdaq.com/symbol/ngl",
"NINE","Nine Energy Service, Inc.","23.86","719837493.76","n/a","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/nine",
"NE","Noble Corporation","3.36","829229180.64","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ne",
"NBL","Noble Energy Inc.","22.31","10704315690","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nbl",
"NBLX","Noble Midstream Partners LP","31.08","1232766723.72","n/a","2016","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/nblx",
"NOA","North American Construction Group Ltd.","10.18","275557380.9","n/a","2006","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/noa",
"NRT","North European Oil Royality Trust","6.1","56062599","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/nrt",
"DNOW","NOW Inc.","13.41","1453922565.93","n/a","2014","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/dnow",
"NS","Nustar Energy L.P.","24.99","2675065445.64","n/a","n/a","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/ns",
"OMP","Oasis Midstream Partners LP","18.98","641125913.48","n/a","2017","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/omp",
"OAS","Oasis Petroleum Inc.","6.41","2041162497.67","n/a","2010","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/oas",
"OBE","Obsidian Energy Ltd.","0.484","245529612.592","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/obe",
"OXY","Occidental Petroleum Corporation","65.58","49514601014.04","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/oxy",
"OII","Oceaneering International, Inc.","15.81","1557803077.89","n/a","n/a","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/oii",
"OIS","Oil States International, Inc.","17.54","1052030765.46","n/a","2001","Energy","Metal Fabrications","https://www.nasdaq.com/symbol/ois",
"ROYT","Pacific Coast Oil Trust","1.8","69449684.4","n/a","2012","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/royt",
"PACD","Pacific Drilling S.A.","14.5","108750","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pacd",
"PHX","Panhandle Royalty Company","15.78","264337312.92","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/phx",
"PARR","Par Pacific Holdings, Inc.","15.82","743298681.72","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/parr",
"PE","Parsley Energy, Inc.","18.46","5847708496.5","n/a","2014","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pe",
"PBF","PBF Energy Inc.","35.07","4204530586.62","n/a","2012","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/pbf",
"PBFX","PBF Logistics LP","21.2","961360555.2","n/a","2014","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/pbfx",
"BTU","Peabody Energy Corporation","32.29","3697205000","n/a","2017","Energy","Coal Mining","https://www.nasdaq.com/symbol/btu",
"PBA","Pembina Pipeline Corp.","32.76","16579884583.08","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pba",
"PBT","Permian Basin Royalty Trust","6.94","323465044.24","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pbt",
"PVL","Permianville Royalty Trust","2.45","80850000","n/a","2011","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pvl",
"PRT","PermRock Royalty Trust","9.9","120440746.8","n/a","2018","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/prt",
"PTR","PetroChina Company Limited","62.45","114296600636.1","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ptr",
"PBR","Petroleo Brasileiro S.A.- Petrobras","15.33","99986068968.45","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pbr",
"PSX","Phillips 66","92.83","42806263548.43","n/a","n/a","Energy","Integrated oil Companies","https://www.nasdaq.com/symbol/psx",
"PSXP","Phillips 66 Partners LP","47.65","5899603965.9","n/a","2013","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/psxp",
"PES","Pioneer Energy Services Corp.","1.61","125925425.5","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pes",
"PXD","Pioneer Natural Resources Company","142.89","24357327897.21","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pxd",
"PAA","Plains All American Pipeline, L.P.","23.26","16893091441.78","n/a","1998","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/paa",
"PAGP","Plains Group Holdings, L.P.","23.13","3681388957.05","n/a","2013","Energy","Natural Gas Distribution","https://www.nasdaq.com/symbol/pagp",
"PDS","Precision Drilling Corporation","2.12","622817492.32","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/pds",
"PUMP","ProPetro Holding Corp.","14.8","1482480864.8","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/pump",
"QEP","QEP Resources, Inc.","8.55","2024391400.2","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/qep",
"QES","Quintana Energy Services Inc.","3.99","134002909.11","n/a","2018","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/qes",
"RRC","Range Resources Corporation","11.87","2961626071.15","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/rrc",
"RNGR","Ranger Energy Services, Inc.","7.5","118466880","n/a","2017","Energy","Oilfield Services/Equipment","https://www.nasdaq.com/symbol/rngr",
"REN           ","Resolute Energy Corporation","31.15","696463069.75","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/ren",
"ROAN","Roan Resources, Inc.","9.54","1455227135.28","n/a","n/a","Energy","Oil & Gas Production","https://www.nasdaq.com/symbol/roan",
