lookback,enter_threshold_size,exit_threshold_size,loss_limit,avg_sharpe_ratio,median_sharpe_ratio,avg_overall_return,median_overall_return,overall_return_std,uuid
70,2.0,0.5,-0.5,-0.0277075184597678,0.4129604625462479,0.0975218260413899,0.09688836528010247,0.2105861245045196,c5da9542-c454-4ce8-8db9-7e093bb085b5
60,2.0,0.5,-0.5,0.03274266533848341,0.41966442377120533,0.10480547703837294,0.10545498041199078,0.20958739794705059,412f5fc8-fd3f-4bd8-899f-4ff24fbd5cd0
50,2.0,0.5,-0.5,0.02721553110563174,0.45104628658866475,0.10343197484233327,0.08558999997281028,0.20994937754800005,50bbc67f-5b59-4583-9e28-50e75dcba0d8
40,2.0,0.5,-0.5,0.01759280478193008,0.42771898692479,0.09574106429508374,0.0903326510295174,0.20405953764834966,676aceb8-b0a6-4e31-bb97-c32b60c278c2
