lookback,enter_threshold_size,exit_threshold_size,loss_limit,avg_sharpe_ratio,median_sharpe_ratio,avg_overall_return,median_overall_return,overall_return_std,uuid
50,2.0,0.5,-0.5,-0.5213153370179174,-0.5278493254008212,-0.0059077487972309176,-0.005320393049443839,0.21191383138079037,0ad65a5a-a6eb-40e1-a7df-f9c2c600f22e
70,2.0,0.5,-0.5,-0.4021139777137886,-0.5318333215297224,-0.006107015269530327,0.0017827096510834527,0.2209952449213816,7cdbfefe-ea4b-4b69-b236-e2be5e67e6b7
76,2.0,0.5,-0.5,-0.3592154162549957,-0.5425849334944366,-0.00935042815133646,-0.0012805739285947056,0.21093671924958576,8b300f61-8d91-4d2a-872a-c8b5e62e1ff9
