enter_threshold_size,exit_threshold_size,loss_limit,avg_sharpe_ratio,median_sharpe_ratio,avg_overall_return,median_overall_return,overall_return_std,uuid
2.0,0.5,-0.1,,,0.002439776002242253,0.0,0.03413923219773616,c347a332-4eb2-45fb-b6c7-46aa52b5483d
2.0,0.5,-0.05,,,0.002275459016716707,0.0,0.023721517687258737,1125d1bb-e59e-421f-ba26-9c24ee82db5d
1.0,0.5,-0.1,,,0.010661422666784989,0.009441438525068516,0.08434621567840325,48f60fe3-60fc-437d-99e0-d31f33d7a1e3
1.0,0.5,-0.05,,,0.014140499282406009,0.0043392656847593605,0.0744777327638079,4bfa8076-24ee-4e98-b3ab-85e837ea1dee
